5:00 AM/ 7,0
5:15 AM/ 7,17.75
5:30 AM/ 7,77.62
5:45 AM/ 7,95.74
6:00 AM/ 7,136.33
6:15 AM/ 7,216.19
6:30 AM/ 7,307.87
6:45 AM/ 7,295.6
7:00 AM/ 7,451.16
7:15 AM/ 7,866.93
7:30 AM/ 7,1248.53
7:45 AM/ 7,1348.62
8:00 AM/ 7,1898.05
8:15 AM/ 7,2072.29
8:30 AM/ 7,2331.16
8:45 AM/ 7,2077.73
9:00 AM/ 7,2839.49
9:15 AM/ 7,2179.73
9:30 AM/ 7,1208.66
9:45 AM/ 7,1074.32
10:00 AM/ 7,2643.92
10:15 AM/ 7,3536.84
10:30 AM/ 7,3342.84
10:45 AM/ 7,3495.36
11:00 AM/ 7,3915.05
11:15 AM/ 7,3944.08
11:30 AM/ 7,4047.92
11:45 AM/ 7,2024.78
12:00 PM/ 7,3879.26
12:15 PM/ 7,2218.98
12:30 PM/ 7,2573.53
12:45 PM/ 7,2384.34
1:00 PM/ 7,2840
1:15 PM/ 7,3814.93
1:30 PM/ 7,3638.45
1:45 PM/ 7,2840.77
2:00 PM/ 7,1566.57
2:15 PM/ 7,1124.82
2:30 PM/ 7,3140.08
2:45 PM/ 7,3161.44
3:00 PM/ 7,3367.19
3:15 PM/ 7,3159.99
3:30 PM/ 7,2976.42
3:45 PM/ 7,2731.4
4:00 PM/ 7,2523.79
4:15 PM/ 7,2290.27
4:30 PM/ 7,2081.51
4:45 PM/ 7,1916.75
5:00 PM/ 7,1612.7
5:15 PM/ 7,1115.08
5:30 PM/ 7,1098.84
5:45 PM/ 7,906.77
6:00 PM/ 7,599.53
6:15 PM/ 7,520.53
6:30 PM/ 7,380.32
6:45 PM/ 7,313.49
7:00 PM/ 7,287.87
